Nest_ID;Year;Total_Days;Nest_Fate;Lay_Days;Incubation_Days;Nestling_Days;Lay_Fate;Incubation_Fate;Nestling_Fate;Stage;Estacion;Altura
P33RVA11;2011;24;2,3;2;17;7;2,3;2,3;2,3;NSTL;Pantiacolla;0,6
P34CAB10;2010;9;2,3;NA;9;NA;2,3;2,3;2,3;INC;Pantiacolla;0,8
P34JAG10;2010;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1,6
P34JPV11;2011;14;2,2;NA;14;NA;1;2,2;2,2;INC;Pantiacolla;1,5
P34MAL10;2010;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P35GVC10;2010;8;2,3;NA;8;NA;2,3;2,3;2,3;INC;Pantiacolla;0,9
P35MHD13;2013;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;0,25
P35SCP10;2010;30;1;NA;16;14;1;1;1;NSTL;Pantiacolla;1
P36_SGG14;2014;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Pantiacolla;3,2
P36CAB10;2010;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;1
P36JPV11;2011;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Pantiacolla;1
P36PCGJ12;2012;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;2,2
P37JAG10;2010;29;2,3;NA;15;14;2,3;2,3;2,3;NSTL;Pantiacolla;1
P37PCGJ12;2012;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;4,3
P39JPV11;2011;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Pantiacolla;1
P39WAVM13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;3,91
P3CAB10;2010;28;1;NA;11;17;1;1;1;NSTL;Pantiacolla;NA
P3SGG14;2014;5;2,2;NA;5;NA;1;2,2;2,2;INC;Pantiacolla;1,4
P3WAVM13;2013;1;2,5;NA;1;NA;2,5;2,5;2,5;INC;Pantiacolla;1
P41CAB10;2010;16;2,3;NA;16;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P42JSH14;2014;2;2,3;NA;2;NA;2,3;2,3;2,3;INC;Pantiacolla;3
P43JAG10;2010;12;1;NA;NA;14;1;1;1;NSTL;Pantiacolla;1,9
P44MASM12;2012;4;2,3;NA;4;NA;2,3;2,3;2,3;INC;Pantiacolla;1,7
P44MASM13;2013;1;2,2;NA;1;NA;1;2,2;2,2;INC;Pantiacolla;0,25
P46JAG10;2010;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;1,3
P46PCGJ12;2012;1;2,5;NA;1;NA;2,5;2,5;2,5;INC;Pantiacolla;1,1
P47MHD13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;1,5
P49JAG10;2010;7;2,3;NA;7;NA;2,3;2,3;2,3;INC;Pantiacolla;1,05
P4IGZ14;2014;13;2,3;NA;13;NA;2,3;2,3;2,3;INC;Pantiacolla;3,5
P4JCC13;2013;6;2,2;NA;6;NA;1;2,2;2,2;INC;Pantiacolla;1
P4JCK13;2013;1;2,3;NA;1;NA;2,3;2,3;2,3;INC;Pantiacolla;3
P4JMM11;2011;3;2,3;NA;3;NA;2,3;2,3;2,3;INC;Pantiacolla;1,8
