ID_chicks;Day;Name;Tarso;Ala;Peso
P03_CAB_10;4;tanga;12,1;12,3;8,35
P03_CAB_10;5;tango;12,3;12,9;9,70
P03_CAB_10;5;tanga;12,9;15,4;10,58
P03_CAB_10;6;tango;13,2;16,4;10,38
P03_CAB_10;6;tanga;14,3;18,4;11,63
P03_CAB_10;7;tango;15,3;20,4;11,37
P03_CAB_10;7;tanga;16,5;21,9;13,15
P03_CAB_10;8;tango;15,3;23;11,90
P03_CAB_10;8;tanga;17,2;25,9;14,10
P03_CAB_10;9;tanga;18;30,5;15,10
P03_CAB_10;9;tango;17;28,5;13,20
P03_CAB_10;10;tango;19;34,5;13,00
P03_CAB_10;10;tanga;19,4;37,2;14,90
P03_CAB_10;11;tanga;19,8;35,7;13,85
P03_CAB_10;11;tango;19,2;37;13,35
P03_CAB_10;12;tanga;18,9;37,9;13,85
P03_CAB_10;12;tango;17,5;35,3;13,65
P03_CAB_10;13;tanga;19,8;39,7;12,20
P03_CAB_10;14;tanga;19,9;42,3;13,05
P33_JAEC10;2;floro;7,1;5,7;3,65
P33_JAEC10;2;flora;7,8;5,5;4,39
P33_JAEC10;3;floro;8,9;5,9;4,38
P33_JAEC10;3;flora;9,6;6,8;5,02
P33_JAEC10;4;floro;8,9;6,2;4,94
P33_JAEC10;4;flora;9,2;7,2;4,50
P37_JAG10;6;nada;13;16;8,30
P37_JAG10;6;color;16;20;10,55
P37_JAG10;7;color;17,5;25,4;10,25
P1_EMJ11;14;nada;18,2;33,9;12,60
P1_EMJ11;14;Mark ;20,2;35,9;13,95
P1_EMJ11;16;nada;19,5;35,2;15,70
P1_EMJ11;16;Mark ;22,1;37,3;16,40
P6_JMM11;5;DE;7,9;8,9;5,90
P6_JMM11;5;IZ;9,6;11;7,10
P6_JMM11;6;DE;10,04;11,95;7,42
P6_JMM11;6;IZ;12,3;14,2;10,02
P6_JMM11;7;DE;11,5;17,7;8,23
P6_JMM11;7;IZ;12,8;18,7;10,13
P6_JMM11;8;DE;12,6;19,6;8,25
P6_JMM11;8;IZ;14,12;21,9;10,79
P16_JMM11;5;PA;8,2;9;5,15
P16_JMM11;5;MA;7,8;9,9;5,87
P16_JMM11;6;PA;9;11,5;6,56
P16_JMM11;6;MA;10,6;12;6,55
P16_JMM11;7;PA;11,3;14,4;8,57
P16_JMM11;7;MA;12,2;15,5;9,87
P16_JMM11;8;PA;12,9;19,6;10,76
P16_JMM11;8;MA;14,3;21,2;9,55
P16_JMM11;9;PA;15,3;29,2;11,15
P16_JMM11;9;MA;15,7;27,1;12,07
P16_JMM11;10;PA;17,3;37,6;NA
P16_JMM11;10;MA;17,6;32,2;NA
P16_JMM11;11;PA;16,9;35,3;12,37
P16_JMM11;11;MA;17,3;37,8;15,60
P16_JMM11;12;PA;17,6;38,5;12,49
P16_JMM11;12;MA;17,3;40;11,91
P19_JMM11;4;Gabo;7,3;9,2;4,20
P19_JMM11;4;Pay;7,8;8,9;4,30
P19_JMM11;6;Gabo;9,8;11,9;6,50
P19_JMM11;6;Pay;10;12;6,77
P13_RVA11;1;M;6,6;6,9;3,10
P13_RVA11;1;U;6,8;6,9;2,95
P13_RVA11;2;M;7,4;7,2;4,00
P13_RVA11;2;U;7,2;7,1;3,45
P13_RVA11;4;M;9,6;10;6,59
P13_RVA11;4;U;9,4;9,6;5,59
P13_RVA11;6;M;11,6;13,1;7,30
P13_RVA11;6;U;11,7;14,2;8,60
P13_RVA11;7;M;12,9;17,1;8,20
P13_RVA11;7;U;13,4;19,5;10,75
P29_RVA11;4;U;9,35;9,4;5,99
P29_RVA11;7;U;14;18,2;10,00
P29_RVA11;8;U;14,8;22;11,61
P29_RVA11;9;U;15,8;26,1;12,33
P18_SWF11;1;M;6,4;7,2;2,81
P18_SWF11;1;U;6,4;9,6;3,24
P18_SWF11;2;M;7,8;8,4;5,31
P18_SWF11;2;U;7,2;9,4;5,77
P18_SWF11;3;M;9,6;9,8;6,42
P18_SWF11;3;U;8,7;9,7;7,02
P18_SWF11;4;M;10,5;13,4;7,76
P18_SWF11;4;U;11;13,4;8,51
P18_SWF11;5;M;12,8;17,8;10,00
P18_SWF11;5;U;12,3;18,1;10,66
P18_SWF11;6;M;13,4;21,9;9,41
P18_SWF11;6;U;14,5;23,2;10,75
P21_DAGR12;1;M;7,4;7,9;3,28
P21_DAGR12;1;U;3,8;7,5;3,41
P21_DAGR12;3;M;9,2;17,9;8,21
P21_DAGR12;3;U;9;18,6;9,03
P21_DAGR12;5;M;12,3;17,9;8,21
P21_DAGR12;5;U;12,7;18,6;9,03
P21_DAGR12;7;M;14,7;26,4;10,49
P21_DAGR12;7;U;15,9;26,9;11,89
P21_DAGR12;9;M;17,9;30,2;11,86
P21_DAGR12;9;U;19,3;36,3;13,50
P21_DAGR12;11;M;18,1;30,2;12,40
P21_DAGR12;11;U;20,6;36,8;13,85
P08_JMGP12;5;U;8,3;8,9;5,34
P08_JMGP12;6;U;9,7;10,7;7,26
P08_JMGP12;8;U;12,5;19;11,15
P08_JMGP12;10;U;15,6;27;12,83
P08_JMGP12;12;U;17,8;35;14,11
P08_JMGP12;15;U;20;41,1;15,25
_P02_JCC13;6;Marcado;13,00;16,40;7,85
_P02_JCC13;6;No marcado;12,20;16,70;7,45
_P01_AJRC13;2;Marcado;8,2;13,1;4,25
_P01_AJRC13;2;No marcado;9,0;13,1;2,05
_P01_AJRC13;5;Marcado;10,5;14,1;6,45
_P01_AJRC13;5;No marcado;10,2;13,2;4,75
_P01_AJRC13;8;Marcado;12,8;17,2;8,60
_P01_AJRC13;8;No marcado;11,5;14,2;6,50
_P01_AJRC13;9;Marcado;16,5;20,1;11,50
_P01_AJRC13;9;No marcado;14,5;18,1;9,20
_P01_AJRC13;10;Marcado;17,7;26,7;11,35
_P01_AJRC13;10;No marcado;15,9;22,6;9,50
_P01_CAD14;9;1;16,10;28,50;12,16
_P01_CAD14;9;2;17,10;29,70;11,61
_P01_CAD14;10;1;16,80;32,60;NA
_P01_CAD14;10;2;18,00;32,90;NA
_P01_CAD14;11;1;16,90;36,40;12,91
_P01_CAD14;11;2;17,40;38,20;12,94
_P01_CAD14;12;1;17,60;40,40;13,02
_P01_CAD14;12;2;16,60;41,00;12,2
_P17_IGZ_14;1;1;4,9;7;2,41
_P17_IGZ_14;1;2;5,5;6;2,49
_P17_IGZ_14;2;1;6,4;7,6;4,08
_P17_IGZ_14;2;2;6;7;3,46
_P17_IGZ_14;3;1;9,3;8;4,53
_P17_IGZ_14;3;2;7,2;7,2;3,74
P02_RV14_P02_RA14;5;1;11;13,5;8,66
P02_RV14_P02_RA14;6;1;12,3;17,9;10,1
P02_RV14_P02_RA14;8;1;14,8;25,6;12,36
P02_RV14_P02_RA14;12;1;17,5;35,7;15,59
_P15MGD14;5;1;11,4;12,4;7,21
_P15MGD14;5;2;10,8;12,8;7,56
_P15MGD14;8;1;14,6;24,2;10,66
_P15MGD14;8;2;15;25,2;10,42
