dia;parte;med
3;ala;8,2
2;ala;7,3
5;ala;12,4
4;ala;10,4
6;ala;16,8
5;ala;12,5
7;ala;21
6;ala;16,1
8;ala;25,4
7;ala;21,1
9;ala;30,6
8;ala;25
10;ala;34,7
9;ala;30,1
11;ala;36,8
10;ala;34,7
12;ala;40,2
11;ala;36,3
12;ala;39,4
14;ala;43
15;ala;45
8;ala;16,8
7;ala;13,8
9;ala;28,3
14;ala;31,7
15;ala;36
16;ala;44
3;ala;6,5
3;ala;8,6
4;ala;8
4;ala;10
5;ala;10
5;ala;14
6;ala;17
6;ala;23,5
8;ala;28,2
8;ala;31,5
9;ala;30,3
9;ala;36,8
10;ala;33,5
10;ala;37,3
1;ala;6
1;ala;6
1;ala;5,1
2;ala;6,3
2;ala;5,7
3;ala;7,7
3;ala;8,8
4;ala;10
4;ala;12,3
5;ala;12,9
5;ala;15,4
6;ala;16,4
6;ala;18,4
7;ala;20,4
7;ala;21,9
8;ala;23
8;ala;25,9
9;ala;30,5
9;ala;28,5
10;ala;34,5
10;ala;37,2
11;ala;35,7
11;ala;37
12;ala;37,9
12;ala;35,3
13;ala;39,7
14;ala;42,3
2;ala;5,7
2;ala;5,5
3;ala;5,9
3;ala;6,8
4;ala;6,2
4;ala;7,2
6;ala;16
6;ala;20
7;ala;25,4
14;ala;33,9
14;ala;35,9
16;ala;35,2
16;ala;37,3
5;ala;8,9
5;ala;11
6;ala;11,95
6;ala;14,2
7;ala;17,7
7;ala;18,7
8;ala;19,6
8;ala;21,9
5;ala;9
5;ala;9,9
6;ala;11,5
6;ala;12
7;ala;14,4
7;ala;15,5
8;ala;19,6
8;ala;21,2
9;ala;29,2
9;ala;27,1
10;ala;37,6
10;ala;32,2
11;ala;35,3
11;ala;37,8
12;ala;38,5
12;ala;40
4;ala;9,2
4;ala;8,9
6;ala;11,9
6;ala;12
1;ala;6,9
1;ala;6,9
2;ala;7,2
2;ala;7,1
4;ala;10
4;ala;9,6
6;ala;13,1
6;ala;14,2
7;ala;17,1
7;ala;19,5
4;ala;9,4
7;ala;18,2
8;ala;22
9;ala;26,1
1;ala;7,2
1;ala;9,6
2;ala;8,4
2;ala;9,4
3;ala;9,8
3;ala;9,7
4;ala;13,4
4;ala;13,4
5;ala;17,8
5;ala;18,1
6;ala;21,9
6;ala;23,2
1;ala;7,9
1;ala;7,5
3;ala;17,9
3;ala;18,6
5;ala;17,9
5;ala;18,6
7;ala;26,4
7;ala;26,9
9;ala;30,2
9;ala;36,3
11;ala;30,2
11;ala;36,8
5;ala;8,9
6;ala;10,7
8;ala;19
10;ala;27
12;ala;35
15;ala;41,1
6;ala;16,40
6;ala;16,70
2;ala;13,1
2;ala;13,1
5;ala;14,1
5;ala;13,2
8;ala;17,2
8;ala;14,2
9;ala;20,1
9;ala;18,1
